Rank,Page Name,Topic,Description / Hook,Format,Metric Tracked,Outlier Score,Post Date,Reference URL,Niche
1,@stoicreflections,Life/Action,"What would you do differently if you stopped playing defense with life?",Photo,Likes (15734),2.1x,Jul 11 2026,https://www.instagram.com/p/Dan_0xOvAor/,Discipline
2,@stoicreflections,Legacy/Ego,"What would you do differently if you stopped living to be remembered?",Photo,Likes (14477),1.9x,Jul 13 2026,https://www.instagram.com/p/DaoAQd-PktY/,Discipline
3,@stoicreflections,Resilience,"What fall taught you that you could rise again?",Photo,Likes (13264),1.7x,Jul 9 2026,https://www.instagram.com/p/DajFWj2vier/,Discipline
4,@stoicreflections,Change/Stability,"Can you stay the same when life changes how it treats you?",Photo,Likes (12639),1.6x,Jul 15 2026,https://www.instagram.com/p/DaywAFjN05v/,Discipline
5,@stoicreflections,Fear/Regret,"Which steals more from you: the past you remember or the future you fear?",Photo,Likes (10942),1.4x,Jul 12 2026,https://www.instagram.com/p/DaoAI_svHjP/,Discipline
6,@stoicreflections,Value/Money,"Which of these are you still trying to buy instead of earn?",Photo,Likes (8222),1.1x,Jul 23 2026,https://www.instagram.com/p/DbI8MlBo6Zm/,Discipline
7,@stoicreflections,Presence/Life,"What would you do differently if you saw this morning as life returned to you?",Photo,Likes (7532),1.0x,Jul 16 2026,https://www.instagram.com/p/Da1UXhMNiAu/,Discipline
8,@stoicreflections,Discipline/Action,"What discipline are you avoiding that could change your life?",Photo,Likes (7388),0.9x,Jul 2 2026,https://www.instagram.com/p/DaRFdfZPrNf/,Discipline
9,@stoicreflections,Self-respect,"Where would your absence speak louder than your effort?",Photo,Likes (7261),0.9x,Jul 5 2026,https://www.instagram.com/p/DaV1f2vIRsT/,Discipline
10,@stoicreflections,Action/Excuses,"What excuse are you ready to replace with a way forward?",Photo,Likes (7117),0.9x,Jul 26 2026,https://www.instagram.com/p/DbPRUQbNkJN/,Discipline
